0.9777268374	1695
0.9754890971	305
0.9748988888	6343
0.9741444844	398
0.9711851707	1666
0.9710529228	5964
0.9702670976	9430
0.9699674182	126
0.9694725005	6517
0.9677401220	6344
0.9674670976	6144
0.9653178894	4785
0.9629618025	1110
0.9622117366	2005
0.9612879387	1473
0.9595843330	5369
0.9589165358	15793
0.9589015514	6684
0.9580498691	21536
0.9574956310	156
0.9543611251	10713
0.9542843229	3996
0.9531988906	842
0.9531245607	1689
0.9524514435	4905
0.9520515936	11398
0.9509610724	4235
0.9502461826	681
0.9498495271	10943
0.9493491581	3947
0.9492997620	633
0.9491689681	1642
0.9491397682	4537
0.9487222061	684
0.9484136154	1334
0.9483571429	3429
0.9462450446	794
0.9460161914	9419
0.9457463094	324
0.9455576742	1920
0.9454441041	7781
0.9447221458	9051
0.9442198042	11285
0.9437107573	1490
0.9427235109	4022
0.9422384589	17050
0.9421612659	4001
0.9417182551	5855
0.9414846387	7643
0.9409412558	4939
0.9402475270	52
0.9400344847	859
0.9399845855	9812
0.9399188452	746
0.9397827839	4574
0.9397571429	13359
0.9395153859	9851
0.9390113963	11056
0.9389558895	10879
0.9389165358	1257
0.9389015514	242
0.9385864836	5754
0.9380123021	743
0.9372756331	1470
0.9371450561	22365
0.9363742137	2284
0.9362694948	1760
0.9360513130	2592
0.9359281222	5050
0.9349123259	414
0.9347148112	788
0.9346775398	639
0.9346749575	2029
0.9342868070	1700
0.9340282538	6094
0.9335849332	6074
0.9334017484	7897
0.9330511042	1444
0.9329748669	6446
0.9329239680	13649
0.9327393006	2572
0.9317363284	1429
0.9316805965	1492
0.9315950394	2007
0.9312926934	15444
0.9312148454	9324
0.9311278053	13587
0.9311264653	4656
0.9309846707	1424
0.9299330408	142
0.9297445740	1677
0.9291783638	2662
0.9289228245	1360
0.9284511937	1285
0.9278633735	157
0.9278065530	1662
0.9277476337	2102
0.9276591290	4003
0.9276146493	1761
0.9268601309	1031
0.9261803314	10928
0.9259215078	623
0.9258268168	2385
0.9256529952	6351
0.9255095439	693
0.9252439344	2361
0.9250462848	728
0.9250459154	4911
0.9244139275	9027
0.9243970899	13374
0.9240438090	9459
0.9239227572	359
0.9238766583	3435
0.9236521584	2595
0.9234874877	4848
0.9232152221	1237
0.9230692656	5459
0.9228959375	1597
0.9228356752	1374
0.9226946849	1069
0.9225783809	987
0.9225064433	1309
0.9221626856	3964
0.9218189005	2776
0.9212758860	864
0.9211549193	13405
0.9207487799	1925
0.9207416565	3005
0.9205159957	442
0.9203571429	1702
0.9201430950	1051
0.9199724153	1565
0.9199614249	25686
0.9199342859	3798
0.9195792197	36026
0.9192344821	450
0.9191024843	2049
0.9189846463	4173
0.9189079393	4301
0.9187388827	7919
0.9185793723	1878
0.9185031325	5696
0.9184148537	1269
0.9183173871	7230
0.9178988960	4835
0.9175615290	2740
0.9175168772	352
0.9175164402	3738
0.9173540269	2465
0.9173024413	1576
0.9172674840	11057
0.9170967368	8912
0.9170634002	9317
0.9169610724	926
0.9168233745	2122
0.9159465712	6570
0.9155856660	194
0.9155731583	7587
0.9154604431	4522
0.9153976246	1863
0.9153785832	3605
0.9150957677	170
0.9147988013	2230
0.9146829812	3474
