reason gave 28
open mind 28
leave tip 28
ordering process 28
glad didn 28
leaves desired 27
finally decided 27
don afraid 27
made decision 27
make things 27
feel rushed 27
pay extra 27
couldn happier 27
don waste time money 27
made feel home 27
paying bill 27
decided give 27
ended waiting 27
server explained 27
round table 27
caught attention 27
couldn stop eating 27
asked leave 27
words describe 26
brought bread 26
server offered 26
asked move 26
told sit 26
add insult injury 26
offered free 26
make happy 26
free dessert 26
front counter 26
extra charge 26
plenty time 26
make feel home 26
host stand 26
bring drinks 26
shown table 26
received bill 26
thing notice 26
pre made 26
ready eat 26
false advertising 25
approached table 25
arrived quickly 25
worth waiting 25
left bad taste mouth 25
flag waiter 25
don skimp 25
waiter asked wanted 25
order correct 25
don fooled 25
didn stay 25
opened box 25
totally worth 25
wanted give 25
wasn case 25
restaurant empty 25
leave feeling 25
owner rude 25
guy working 25
word mouth 25
kind weird 25
found odd 25
told needed 25
blow mind 25
make mind 25
wasn fault 25
felt sick 25
sitting counter 25
sit table 25
gave chance 25
ended meal 25
money spent 25
stand line 25
made sense 24
sending back 24
ordered delivery 24
hard eat 24
don mind waiting 24
couldn stop 24
offered bring 24
sat waited 24
phone order 24
asked ready order 24
sitting waiting 24
longer expected 24
didn receive 24
hard earned money 24
make decision 24
hell kitchen 24
hard working 24
asked bartender 24
greeted seated 24
kick ass 24
waiter forgot 24
cleaned plates 24
made eye contact 24
spent money 24
made comment 24
delivery charge 24
waiter rude 24
wasn feeling 24
changed mind 24
made effort 23
treated poorly 23
empty tables 23
difficult eat 23
flag server 23
wasn problem 23
manager offered 23
minute walk 23
display case 23
entire party 23
make eye contact 23
pun intended 23
sort thing 23
helped make 23
reason back 23
split check 23
minutes server 23
type person 23
make matters worse 23
set table 23
thought give 23
bus boys 23
taking home 23
called manager 23
refill drinks 23
young girl 23
wouldn eat 23
spent time 23
server informed 22
time ate 22
finished meals 22
thought weird 22
charge extra 22
line long 22
people complain 22
takes forever 22
waiting tables 22
bring water 22
dropped check 22
fairly quickly 22
didn apologize 22
bad attitude 22
kind guy 22
server drink order 22
felt welcomed 22
completely forgot 22
started meal 22
feel home 22
made sick 22
weren hungry 22
watch make 22
delivery fee 22
recommended server 22
brought attention 22
brought bill 22
couldn understand 22
waiter explained 22
doesn make sense 22
finally received 21
empty restaurant 21
didn match 21
single time 21
barely eat 21
lost customer 21
trouble finding 21
weren bad 21
taking drink orders 21
fat tire 21
rest assured 21
fine print 21
decided eat 21
kind money 21
clear plates 21
calling ahead 21
rock hard 21
charged extra 21
reserved table 21
finally showed 21
empty stomach 21
make difference 21
dont care 21
hard rock 21
finishing meal 21
bit odd 21
wasn hungry 21
clear table 21
working kinks 21
people line 20
waited waited 20
doesn sound 20
truth told 20
don spend 20
stuffing face 20
helped pick 20
blew mind 20
decided wanted 20
requested table 20
asked wanted dessert 20
amount people 20
didnt care 20
didn wow 20
asked question 20
guess expected 20
older man 20
waiter checked 20
coupon free 20
table set 20
order taker 20
thought odd 20
bring cash 20
understand busy 20
manager apologize 20
felt needed 20
prepared spend 20
ate thing 20
full meal 20
wasting time 20
regular customers 20
gave shot 20
arrived early 20
people complaining 20
friend ordered 20
tables seated 20
gave extra 20
made difference 20
don plan 20
met owner 20
couldn figure 20
sitting long 20
time ll 20
walked greeted 20
knew stuff 20
barely touched 20
extra money 19
hold candle 19
hostess sat 19
apologized wait 19
lost business 19
pain ass 19
totally forgot 19
people coming 19
served promptly 19
wanted check 19
leaves lot desired 19
put names 19
refill water 19
learned lesson 19
blah blah 19
cleared plates 19
water refilled 19
long periods 19
started ordering 19
bit desired 19
comped meal 19
young guy 19
waitress recommended 19
greeted hostess 19
empty table 19
asked moved 19
corking fee 19
person working 19
young woman 19
hard hear 19
paid cash 19
expense account 19
paying customers 19
didn impress 19
promptly greeted 19
older gentleman 19
explained situation 19
manager duty 19
washing hands 19
ordered drinks 19
end result 19
rest party 19
handed menus 19
entrees arrived 19
free drink 19
hard screw 18
incredibly rude 18
ll save 18
enjoy meal 18
positive note 18
front restaurant 18
ordering online 18
takes care 18
stole show 18
couldn nicer 18
drinks refilled 18
loyal customers 18
gift certificates 18
answer question 18
lets start 18
wash hands 18
caught guard 18
wait long time 18
ordered online 18
finally chance 18
debit card 18
health department 18
owner talked 18
finally flagged 18
pay cash 18
short notice 18
asked drink 18
lesson learned 18
questions menu 18
arrived shortly 18
room dessert 18
asked refill 18
step foot 18
started talking 18
person phone 18
house made 18
spending time 18
small plates 18
business owner 18
work hard 17
didn skimp 17
find seat 17
spoke owner 17
greeted smile 17
refills drinks 17
order appetizer 17
server apologized 17
bring bread 17
don eat meat 17
eat lot 17
order extra 17
loyal customer 17
wouldn expect 17
cook home 17
owner greeted 17
biggest problem 17
answering questions 17
bus person 17
forgot add 17
lady phone 17
assistant manager 17
table front 17
decided stay 17
takes lot 17
offered drink 17
chef boy 17
cancel order 17
mistakes happen 17
couldn bothered 17
side note 17
table cleared 17
time explain 17
final bill 17
drinks filled 17
don ll 17
handled situation 17
drink menu 17
failed mention 17
remember names 17
important note 17
hand rolled 17
cover charge 17
felt compelled 17
originally wanted 16
left happy 16
longer wait 16
didn live hype 16
lady counter 16
don waste 16
working counter 16
repeat business 16
number people 16
double check 16
girl working 16
owner nice 16
sign door 16
water refills 16
put plate 16
owner stopped 16
manager stopped 16
forgot put order 16
front line 16
remember correctly 16
moment walked door 16
wasn impressed 16
waters refilled 16
common sense 16
working hard 16
extra plates 16
people watching 16
reviewers mentioned 15
start meal 15
doesn work 15
head chef 15
entire life 15
taking advantage 15
don live 15
hard time finding 15
change mind 15
back corner 15
refill drink 15
menu online 15
guys counter 15
time frame 15
walk counter 15
long lines 15
previously mentioned 15
barely hear 15
care customer 15
put mouth 15
owner makes 15
staff member 15
run money 15
don anymore 15
problem paying 15
taste mouth 15
table window 15
checked regularly 15
waitress asked wanted 15
biggest complaint 15
closed eyes 15
things happen 15
major disappointment 15
kitchen closed 15
offered dessert 15
set tone 15
holy crap 15
beginning meal 15
booked table 15
word describe 15
assume manager 15
ll start 15
water show 15
looked smelled 14
bad experience 14
takes long 14
free refills 14
wait worth 14
apologized offered 14
stopped eating 14
leave room 14
deciding order 14
told specials 14
home work 14
order ahead 14
bad taste mouth 14
doesn hurt 14
decided stop 14
bit strange 14
person party 14
knew menu 14
made house 14
quickly greeted 14
bread brought table 14
practically empty 14
ordering delivery 14
stay business 14
forget mention 14
feel guilty 14
judge book cover 14
stay home 14
felt awkward 14
wasn expecting 14
bit hard 14
ended sitting 14
reservations recommended 14
offer free 14
free drinks 14
long story 14
rest home 14
long island 14
brought complimentary 14
young kids 14
don vito 14
entire experience 13
set foot 13
decide eat 13
arrived promptly 13
kick butt 13
money spend 13
sick eating 13
refilled drinks 13
opened door 13
ll leave 13
entire plate 13
honestly don 13
isn bad 13
sounds weird 13
feel compelled 13
worst thing 13
party arrived 13
knowing expect 13
set menu 13
complete meal 13
seated booth 13
reservations seated 13
ll notice 13
expect spend 13
head back 13
eat half 13
feel special 13
hard time deciding 13
asked speak 13
complete lack 13
drinks empty 13
wasn worth 13
work kinks 13
felt bit 12
doesn deserve 12
main reason 12
takes pride 12
treated royalty 12
paper towels 12
closest thing 12
make stop 12
served cold 12
finished dinner 12
wait return 12
worth extra 12
check offer 12
wife wanted 12
end day 12
half order 12
give extra 12
lack thereof 12
kitchen open 12
total bill 12
restaurant industry 12
husband ordered 12
party seated 12
pass time 11
drive back 11
hard cut 11
difficult find 11
walk past 11
worth checking 11
paper bag 11
minute drive 11
entire staff 11
doesn cut 11
extra special 11
refills water 11
wife ordered 11
worth calories 11
set back 11
personally don 11
minutes finally 11
paid extra 11
nice gesture 11
reason giving 11
greeted sat 11
3rd time 11
asked ready 11
don fool 11
people sitting 11
girl answered 11
doesn taste 11
negative thing 11
sad part 11
hard earned 11
reservation seated 11
feel eating 11
wait hours 11
extremely disappointed 11
explain menu 11
imagine surprise 11
hot ready 11
insult injury 11
heart set 11
make save room 11
makes mouth water 11
tables occupied 11
free appetizer 11
moment walk 11
bad idea 11
decided sit 11
grab drink 11
small talk 10
2nd time 10
type restaurant 10
possibly worst 10
dont remember 10
chit chat 10
bread brought 10
brings back 10
paper table 10
typically order 10
heavy handed 10
kind annoying 10
guess ll 10
decided start 10
sitting front 10
enjoying meal 10
rest staff 10
gave free dessert 10
full satisfied 10
sat empty 10
asked medium 10
worth effort 10
don ll back 10
menu looked 10
checked yelp 10
party mouth 10
refilling drinks 10
short walk 10
spent lot 10
thing menu 10
serve alcohol 10
repeat customer 10
weren disappointed 10
fell short 10
wanted share 10
close home 10
drink refill 10
sound system 10
mind paying 10
husband decided 10
water refill 9
walked hostess 9
worth hassle 9
glad finally 9
home leftovers 9
weren expecting 9
left bad taste 9
doesn feel 9
sign front 9
feel welcomed 9
grab seat 9
round drinks 9
server pleasant 9
don pass 9
big smile 9
young children 9
offered complimentary 9
arrived 6pm 9
cloth napkins 9
makes difference 9
worst experience 9
supposed taste 9
job making 9
long day 9
spend lot 9
bad meal 9
started coming 9
kids eat free 9
leave wanting 9
stop talking 9
online menu 9
sat bar 9
mouth water 9
table occupied 9
hard describe 9
yelp check 9
longest time 9
ll give 9
long drive 9
people party 8
ll find 8
friend suggested 8
wait till 8
wasn write home 8
wait ridiculous 8
gas station 8
things changed 8
walking door 8
standing front 8
1st time 8
decided share 8
end evening 8
due poor 8
awhile back 8
minutes ordering 8
book cover 8
reservation open table 8
number tables 8
full dessert 8
minute wait table 8
bad sign 8
friend mine 8
server extremely 8
home run 8
dinner drinks 8
member party 8
finally stopped 8
food arrived 8
wasn crazy 8
give shot 8
store bought 7
biggest disappointment 7
special requests 7
ordering system 7
owner staff 7
mind waiting 7
people watch 7
window seat 7
100 person 7
skipped dessert 7
minutes table 7
knowledge menu 7
half empty 7
walking restaurant 7
eat anymore 7
reason didn give 7
find hard 7
left lot 7
reason return 7
party ordered 7
tables close 7
seated window 7
beginning end 7
business owners 7
left bad 7
tables filled 7
table cloth 7
don feel cooking 7
delivered quickly 7
hours eat 7
thing change 7
gave complimentary 7
important part 7
quick drink 7
terrible experience 7
decided head 7
falls short 7
dessert coffee 7
entire menu 7
time deciding 7
make regular 7
minutes waitress 7
boy glad 7
run restaurant 7
speak easy 7
give free 7
order medium 7
make drive 6
met friend 6
ll bring 6
nice change 6
plastic cup 6
full menu 6
lot desired 6
taste test 6
wasn horrible 6
happy find 6
reservation advance 6
refilling water 6
make save 6
friend recommended 6
figured give 6
don write 6
bit disappointed 6
story short 6
change menu 6
part experience 6
wasn paying 6
birthday girl 6
refilled water 6
doesn disappoint 6
makes happy 6
girlfriend ordered 6
don hype 6
won leave 6
things menu 6
time visited 6
staff trained 6
stop thinking 6
free bread 6
thought nice 6
running late 6
thing ate 6
drive home 6
waited waited waited 6
don hesitate 6
big disappointment 6
fine establishment 6
remember exact 6
stay open 6
people share 6
arrived late 6
hard pressed 6
plates share 6
period time 6
small business 6
restaurant opened 5
actual restaurant 5
minutes cook 5
bill 100 5
wife decided 5
isn bad thing 5
bit tough 5
ll spend 5
bit disappointing 5
experience life 5
crazy busy 5
closer home 5
bread served 5
pleasant surprise 5
big difference 5
feeling satisfied 5
recommendation friend 5
kind reminded 5
rushing back 5
ate entire 5
ll admit 5
damn thing 5
entered restaurant 5
earlier day 5
safe bet 5
leftovers home 5
thought bit 5
suggest ordering 5
save room dessert 5
won disappointed 5
saved room 5
ahead make 5
check yelp 5
business dinner 5
reserve table 5
back day 5
fixed menu 5
friend split 5
menu posted 5
minutes seated 5
custom made 5
plan back 5
hear conversation 5
ate half 5
staff polite 5
special request 5
open tables 5
tables full 5
sister restaurant 5
missed mark 5
taste difference 5
sat booth 5
room desert 5
worth visit 5
drink tickets 5
business meeting 4
decided skip 4
ordered takeout 4
hasn changed 4
sour taste 4
half orders 4
waiter extremely 4
managed find 4
boyfriend ordered 4
bought groupon 4
pro tip 4
negative comments 4
purchased groupon 4
make special 4
regular menu 4
nice treat 4
birthday boy 4
rest life 4
minutes bring 4
reviewer mentioned 4
holy cow 4
restaurant impossible 4
fell flat 4
bad taste 4
close closing 4
bigger expected 4
wasn terrible 4
half full 4
fellow diners 4
taste wise 4
periods time 4
fix menu 4
window table 4
cleaned plate 4
home cooking 4
wasn thrilled 4
cold middle 4
kill time 4
finally decided give 4
understand hype 4
bf ordered 4
wife daughter 4
drinks bar 4
feeling full 4
small tables 4
wife split 4
open till 4
won find 4
bring kids 3
item menu 3
food drinks 3
ll pass 3
main ingredient 3
close house 3
kids eat 3
friend decided 3
post office 3
cup coffee 3
dinner tonight 3
extremely busy 3
recommended friend 3
leftovers day 3
looked nice 3
sadly disappointed 3
menu changed 3
real thing 3
time visit 3
tables set 3
add insult 3
ll stick 3
fairly busy 3
barely taste 3
absolute worst 3
ruined experience 3
nice surprise 3
fill water 3
business associates 3
birthday dessert 3
kid menu 3
wont back 3
real reason 3
experience tonight 3
rush back 3
heard lot 3
run business 3
work day 3
food quickly 3
food arrive 3
makes feel home 3
bit dry 3
sit enjoy 3
room temperature 3
rock roll 3
extremely small 3
friend birthday 3
ordered appetizer 3
life changing 3
waiting hours 3
horrible experience 3
ate piece 3
arrive early 3
dessert tray 3
management staff 3
wasn special 3
sister ordered 3
hoping find 3
complimentary dessert 3
extra bread 3
carry conversation 3
easy find 3
won returning 3
skip dessert 3
return visit 3
won return 3
entire evening 3
tiny bit 3
