imya	number	another
Comedor Guadalajara	0.833333333333	0.229308185587
Las Glorias Grill	0.833333333333	0.211459795903
Blue Adobe Grille	0.727272727273	0.243308644124
La Comida	0.4	0.244302128427
Cantina Laredo	0.166666666667	0.306777541499
Frank & Lupe's Old Mexico	0.0	0.0923745294058
