word	sentiment
aforesaid	0.062
afraid	-0.736
afresh	0.286
aft	-0.04
afterlife	0.142
aftermath	-0.376
afternoon	0.547
aftershave	-0.188
aftertaste	-0.292
afterthought	-0.208
aga	0.084
again	-0.047
against	-0.5
agape	0.224
agate	0.08
age	0.122
aged	-0.73
agency	-0.08
agenda	0.062
agent	-0.04
agglomeration	-0.1
aggravate	-0.708
aggravated	-0.842
aggravates	-0.784
aggravating	-0.486
aggravation	-0.611
aggregate	0.46
aggregation	0.166
aggresive	-0.882
aggression	-0.694
aggressive	-0.306
aggressively	-0.5
aggressiveness	-0.778
aggressor	-0.708
agh	-0.48
aghast	-0.734
aghhh	-0.438
agile	0.6
agility	0.44
aging	-0.572
agitate	-0.806
agitated	-0.112
agitation	-0.708
aglow	0.56
agnostic	-0.388
ago	-0.366
agonizing	-0.834
agony	-0.841
agoraphobia	-0.746
agree	0.476
agreeable	0.597
agreed	0.594
agreeing	0.708
agreement	0.569
agressive	-0.834
agricultural	0.372
agriculture	0.28
aground	-0.334
agua	0.196
ahead	0.469
ahhh	0.124
ahhhhhhhh	0.104
ahoy	0.0
aid	0.333
aide	0.448
aiding	0.286
aids	0.122
ail	-0.25
ailing	-0.812
ailment	-0.708
aim	-0.038
aimless	-0.7
air	0.416
airbag	0.02
airborne	0.084
aircraft	0.292
aircraft carrier	-0.02
airfield	0.202
airhead	-0.458
airlift	0.146
airline	0.3
airliner	0.334
airlock	-0.204
airman	0.174
airplane	0.438
airport	0.458
airs	0.166
airship	0.084
airspace	0.124
airspeed	0.166
airstrip	0.1
airtight	-0.042
airway	0.276
aisle	-0.124
ait	-0.23
ajar	-0.08
aka	-0.082
akin	0.278
alabaster	0.084
alarm	-0.389
alarm clock	0.084
alarmed	-0.624
alarming	-0.592
alas	0.142
alb	0.042
albatross	0.0
albino	0.0
album	0.27
alchemy	0.082
alcohol	-0.354
alcoholic	-0.694
alcoholism	-0.878
alcove	-0.02
alderman	0.1
ale	0.06
alert	-0.042
alertness	-0.25
alerts	-0.326
alfalfa	0.092
algebra	-0.12
algebraic	0.062
algorithm	-0.104
alias	0.082
alibi	-0.208
alien	-0.361
alienate	-0.506
alienated	-0.18
alienation	-0.764
alight	0.334
align	0.312
aligned	0.166
alignment	0.286
alike	0.306
alimentation	0.562
alimony	0.224
aliquot	-0.12
alive	0.556
alkali	-0.02
alkaloids	-0.134
allay	-0.166
allegation	-0.306
allege	-0.164
alleged	-0.27
allegiance	0.834
allegorical	0.034
allegory	0.23
allegro	0.27
allergic	-0.73
allergy	-0.408
alleviate	0.738
alleviation	0.47
alley	-0.306
alleyway	-0.286
alliance	0.587
allied	0.514
alligator	-0.292
allocate	0.346
allocation	0.208
allot	0.244
allotment	0.2
allow	0.333
allowable	0.396
allowance	0.346
allowed	0.46
alloy	0.166
allsmiles	0.572
allure	0.608
alluring	0.674
allusion	-0.12
alluvial	-0.354
ally	0.458
almanac	0.376
almighty	0.876
almond	0.396
aloft	0.542
aloha	0.396
alone	-0.547
alongside	-0.084
aloof	-0.622
alot	0.172
aloud	-0.084
alpha	0.416
alphabet	0.124
alphabetical	0.074
alpine	0.188
alreadyyyyy	0.184
altar	0.448
altar boy	-0.132
alter	-0.334
alteration	-0.666
altercation	-0.66
altered	-0.49
alternate	0.25
alternating	-0.04
alternative	0.256
altimeter	0.23
altitude	0.416
alto	0.312
altogether	0.666
aluminum	-0.102
alumnus	0.266
alveolar	-0.062
alzheimers	-0.612
amalgam	-0.124
amalgamation	-0.188
amaretto	0.086
amass	0.104
amateur	-0.062
amaze	0.792
amazed	0.592
amazedness	0.654
amazement	0.5
amazing	1.0
amazingly	0.836
ambassador	0.302
amber	0.27
ambience	0.47
ambient	0.25
ambiguity	0.153
ambiguous	-0.056
ambit	-0.042
ambition	0.02
ambitious	-0.032
ambivalent	-0.139
ambrosia	0.142
ambulance	0.0
ambush	-0.619
ameliorate	0.292
amen	0.562
amenable	-0.104
amend	0.376
amendment	0.062
amends	0.28
amenity	0.5
amethyst	0.244
amiable	0.694
amicable	0.75
amid	0.02
amidst	-0.04
amino	0.102
amiss	-0.375
ammo	-0.354
ammonia	-0.416
ammonium	-0.292
ammunition	-0.324
amnesia	-0.408
amnesty	0.102
amorous	0.688
amorphous	-0.346
amortization	0.184
amount	0.124
amour	0.73
amp	-0.122
ampersand	-0.04
amphetamines	-0.734
amphibian	-0.146
amphibious	-0.042
amphitheater	0.306
ample	0.508
amplification	0.38
amplify	0.354
amplitude	0.388
amply	0.562
amputate	-0.816
amputation	-0.8
amuck	-0.23
amulet	0.562
amuse	0.624
amused	0.884
amusement	0.858
amusing	0.92
ana	0.082
anaconda	-0.708
anaesthesia	-0.3
anaesthetic	-0.102
anagram	0.104
anal	-0.334
analgesic	-0.166
analogous	0.062
analogue	0.14
analogy	0.02
analysis	0.458
analyst	0.208
analytic	0.33
analytical	0.25
analyze	0.334
analyzer	0.25
anaphylactic	-0.244
anarchism	-0.75
anarchist	-0.592
anarchy	-0.708
anastomosis	-0.25
anathema	-0.428
anatomic	0.124
anatomy	0.124
ancestor	0.184
ancestral	0.28
ancestry	0.416
anchor	0.04
anchorage	0.0
ancient	-0.16
ancillary	-0.102
androgen	-0.49
android	0.326
anecdote	0.166
anemia	-0.624
anemic	-0.666
anemone	0.104
anesthesia	-0.27
anesthesiologist	-0.162
anesthetic	-0.3
aneurysm	-0.77
anew	0.542
angel	0.672
angelic	0.854
anger	-0.683
angered	-0.98
angermanagement	-0.48
angina	-0.54
angiogram	-0.306
angiography	-0.244
angle	0.082
angling	0.25
angora	0.058
angriest	-0.812
angry	-0.764
angrytweet	-0.47
angst	-0.666
anguish	-0.875
anguished	-0.73
angular	-0.102
anhydrous	-0.088
animal	0.042
animate	0.654
animated	0.646
animation	0.776
animosity	0.02
animus	0.396
ankle	0.0
anklet	-0.18
annals	-0.146
annex	0.188
annexation	-0.316
annexe	0.168
annihilate	-0.77
annihilated	-0.84
annihilation	-0.918
anniversary	0.76
annotate	0.184
annotation	0.208
announce	0.388
announcement	0.458
announcer	0.204
annoy	-0.812
annoyance	-0.667
annoyed	-0.792
annoyin	-0.48
annoying	-0.836
annoys	-0.708
annual	0.104
annuity	0.042
annul	-0.5
annular	-0.38
annulment	-0.694
annulus	-0.084
anointed	0.0
anointing	0.306
anomalous	-0.438
anomaly	-0.624
anon	-0.042
anonymity	-0.062
anonymous	-0.208
anorexic	-0.68
answer	0.074
answerable	0.416
answering	0.368
ant	-0.104
antagonism	-0.819
antagonist	-0.52
antagonistic	-0.681
antagonize	-0.841
ante	-0.104
antecedent	-0.146
antelope	0.084
antenna	0.042
anterior	0.02
anthem	0.56
anthill	-0.346
anthology	-0.324
anthrax	-0.624
anthropological	-0.266
anthropologist	0.102
anthropology	-0.02
anti	-0.27
antiaircraft	-0.34
antibiotic	0.02
antibiotics	-0.104
antichrist	-0.836
anticipate	0.244
anticipation	0.396
anticipatory	0.306
antics	-0.104
antidote	0.082
antifungal	-0.184
antigravity	-0.14
antimony	-0.244
antipathy	-0.604
antiquarian	0.0
antiquated	-0.16
antique	0.268
antiques	0.08
antiquity	-0.23
antiseptic	-0.124
antisocial	-0.708
antithesis	-0.208
