Cuisine,Dance Clubs,Tapas Bars,Pakistani,Vegetarian,Food Court,Tex-Mex,Middle Eastern,Chinese,Brasseries,Food Stands,Hot Dogs,Ethiopian,Italian,Korean,Latin American,Venezuelan,Vegan,Greek,Fast Food,Ukrainian,Ethnic Food,Delis,Vietnamese,Mexican,Indian,Russian,Cantonese,Peruvian,Mediterranean,Turkish
Vegan,0.048598951,0.0479780208,0.2378818747,0.4812389001,0.0394839571,0.0721765637,0.1908007513,0.1757887982,0.1225342723,0.0625989457,0.0740953033,0.3971680415,0.1775872588,0.0389620923,0.0634203294,0.0091680969,1,0.1115051488,0.1402456813,0.0248546811,0.1484791398,0.0767014914,0.0599282357,0.0798696753,0.2435637266,0.0248059196,0.1156846345,0.0090028362,0.1858047757,0.0916827188
Greek,0.0356022442,0.0188290911,0.1200399677,0.4146502906,0.0077784124,0.0107523824,0.7229748308,0.0120859836,0.0114068064,0.0094535005,0.0902141214,0.0081415994,0.0519694294,0.0068727612,0.0158774913,0.0048129202,0.1115051488,1,0.064036102,0.0190583557,0.2053763363,0.0384684955,0.0015613921,0.0147977088,0.0107702775,0.0792771658,0.0068513625,0.0033545784,0.8892090916,0.2379699429
Fast Food,0.0448836849,0.0353580788,0.0430942488,0.1236453941,0.0440484382,0.149621298,0.062512093,0.1097906324,0.1154717332,0.0910642763,0.3495590457,0.0087741835,0.113890794,0.0567429109,0.0813107295,0.0168250544,0.1402456813,0.064036102,1,0.0204675929,0.1024187489,0.2214388909,0.009715237,0.2112774351,0.0402832698,0.0305751412,0.0491749956,0.0259835348,0.0778604189,0.0528152562
Ukrainian,0.0107304233,0.1839890348,0.0083702217,0.0187958005,0.008260794,0.0179951723,0.0204724103,0.021998424,0.0485480254,0.0092425882,0.0119441033,0.0037950539,0.049817002,0.009844888,0.0425212184,0.0023488883,0.0248546811,0.0190583557,0.0204675929,1,0.0165283825,0.0127820824,0.0014975378,0.0304406923,0.0058208766,0.1681352372,0.0428567123,0.0031008002,0.02585102,0.0141027748
Ethnic Food,0.0233916717,0.0216254742,0.0529188893,0.2126226359,0.0176984052,0.0882717712,0.236538269,0.3364644204,0.0371337131,0.0912649203,0.0547554597,0.0378178604,0.0583550474,0.0863331538,0.0647614413,0.0101024697,0.1484791398,0.2053763363,0.1024187489,0.0165283825,1,0.1004997412,0.4216841491,0.1405370617,0.0352051154,0.0413598213,0.2665928113,0.0132965138,0.2274025728,0.1074016011
Delis,0.0198765477,0.0271005286,0.0086221319,0.0745431792,0.0270910725,0.0292378141,0.0580060309,0.0309313504,0.0703263808,0.0265032586,0.1180748039,0.0042410135,0.1869660558,0.0127703935,0.0234102648,0.0037798938,0.0767014914,0.0384684955,0.2214388909,0.0127820824,0.1004997412,1,0.0035682095,0.0299472409,0.0077531823,0.0874605855,0.0134980458,0.0044875382,0.0521477318,0.0333058536
Vietnamese,0.0034537494,0.002599136,0.0023340433,0.0505918024,0.0012249136,0.0033313538,0.0022446309,0.5034807033,0.00410369,0.0112569834,0.0096249718,0.0006003019,0.0073471933,0.0511211358,0.0050253457,0.0022596668,0.0599282357,0.0015613921,0.009715237,0.0014975378,0.4216841491,0.0035682095,1,0.0061127065,0.0016777405,0.0030046024,0.494275834,0.0019199739,0.002634977,0.0009355204
Mexican,0.0579139457,0.1102581143,0.0092571315,0.1328213736,0.0276118195,0.7656453003,0.0136280368,0.074316658,0.0580043204,0.0778302823,0.0784534074,0.0054499596,0.0679653245,0.0876760642,0.3380450207,0.0246428996,0.0798696753,0.0147977088,0.2112774351,0.0304406923,0.1405370617,0.0299472409,0.0061127065,1,0.0097756432,0.0085562889,0.0236010339,0.0673818137,0.0283994285,0.0070149365
Indian,0.0070909788,0.0068277768,0.9705569116,0.2228307574,0.0030420047,0.0109827751,0.0431062443,0.0169776532,0.0314033471,0.0059752458,0.0478361608,0.0100010466,0.0178989531,0.0066092907,0.0085351218,0.0012461246,0.2435637266,0.0107702775,0.0402832698,0.0058208766,0.0352051154,0.0077531823,0.0016777405,0.0097756432,1,0.0053011015,0.0092214542,0.0032263258,0.0262198438,0.046019999
Russian,0.0120846892,0.0201908606,0.0150290555,0.0397860292,0.0060474188,0.0083479258,0.0644658156,0.0323983779,0.0203470546,0.0087080404,0.0288727095,0.0029887136,0.0382989215,0.0141774662,0.0090546817,0.0015485857,0.0248059196,0.0792771658,0.0305751412,0.1681352372,0.0413598213,0.0874605855,0.0030046024,0.0085562889,0.0053011015,1,0.0280026926,0.0025192257,0.0750508659,0.0672754997
Cantonese,0.0217454684,0.0245820856,0.0099179068,0.0940005256,0.0244743603,0.0172938039,0.0065052798,0.6919958758,0.0331917206,0.0462112986,0.0192836752,0.0030751116,0.0580120283,0.0857308845,0.0163872285,0.0030382781,0.1156846345,0.0068513625,0.0491749956,0.0428567123,0.2665928113,0.0134980458,0.494275834,0.0236010339,0.0092214542,0.0280026926,1,0.0048924472,0.0128327557,0.0033205803
Peruvian,0.0067638433,0.0668382483,0.0023678307,0.0138858247,0.0010041493,0.017328679,0.0041141384,0.0417825456,0.0059026541,0.0081171762,0.0076780235,0.0018166531,0.0148843866,0.0033659305,0.2604921357,0.0191530861,0.0090028362,0.0033545784,0.0259835348,0.0031008002,0.0132965138,0.0044875382,0.0019199739,0.0673818137,0.0032263258,0.0025192257,0.0048924472,1,0.0066039657,0.0017231952
Mediterranean,0.0563199349,0.0559837341,0.1201352065,0.6657022988,0.0227849566,0.0228006688,0.8853395022,0.0251591614,0.0435958243,0.0168467276,0.0810230814,0.0179558508,0.1165410801,0.0134107053,0.0409126549,0.0053414862,0.1858047757,0.8892090916,0.0778604189,0.02585102,0.2274025728,0.0521477318,0.002634977,0.0283994285,0.0262198438,0.0750508659,0.0128327557,0.0066039657,1,0.3247668696
Turkish,0.018515952,0.0089788847,0.0658500239,0.2663998666,0.0060821337,0.0103251318,0.3852617944,0.0084012076,0.0492783897,0.0059345984,0.0146292464,0.0082064825,0.0294448502,0.0039280303,0.0101171694,0.0009201593,0.0916827188,0.2379699429,0.0528152562,0.0141027748,0.1074016011,0.0333058536,0.0009355204,0.0070149365,0.046019999,0.0672754997,0.0033205803,0.0017231952,0.3247668696,1
