0.9978057915	5200 9274
0.9974566942	3031 7973
0.9972654553	9439 9440
0.9969654553	8604 10112
0.9969654553	5194 8538
0.9967772200	3027 8494
0.9967772200	3072 7806
0.9967028180	852 853
0.9965606934	8912 13475
0.9963414939	13292 13293
0.9963041313	852 10812
0.9958898456	450 2054
0.9958587531	449 7003
0.9957728308	1445 306
0.9957728308	2001 4672
0.9954852656	3031 9274
0.9950184170	4001 1218
0.9948898456	728 1257
0.9948553628	956 1218
0.9948490496	403 2054
0.9948016103	450 1051
0.9947570026	3367 1389
0.9945735009	1482 1032
0.9943788657	741 3045
0.9942885323	1675 306
0.9942599608	14212 14213
0.9941053808	3031 4883
0.9941034456	11053 4035
0.9940773659	2729 2389
0.9940739726	1467 842
0.9940606934	352 5918
0.9939083812	682 683
0.9938086988	790 1098
0.9937772200	4073 2323
0.9935272200	1567 1819
0.9935004850	1567 351
0.9934449294	561 7259
0.9934151072	1563 1219
0.9930184170	3072 674
0.9929839343	144 4720
0.9928898456	1877 306
0.9928139209	1256 153
0.9927079595	403 1677
0.9926081606	2225 2226
0.9925583506	2984 629
0.9925551989	2602 2603
0.9925231527	1878 629
0.9924476032	5046 743
0.9924469884	1430 2568
0.9923644100	9439 10751
0.9923251492	13730 389 12360
0.9922878947	13738 13730
0.9922623898	4393 1098
0.9922526779	3181 10858
0.9921682508	2300 152
0.9921625365	3031 13195
0.9921082251	656 153
0.9919847355	403 1588
0.9919301817	3072 6756
0.9919076272	656 1032
0.9918798336	3030 1690
0.9916818301	1567 9503
0.9913962348	4173 3871
0.9913940268	29140 15649
0.9913898456	1470 367 10699
0.9913178363	1638 1639
0.9912728308	956 1218 1219
0.9912721876	2524 8036
0.9912449294	195 197
0.9910928405	403 1051
0.9910369267	5782 1690
0.9909088787	5 14
0.9909035806	3818 21707
0.9908676810	1694 5165
0.9908644490	403 1681
0.9908171037	4913 14418
0.9907845955	1212 1213
0.9907171037	2209 389 3117
0.9907002970	7121 528
0.9906644100	450 729
0.9905964300	8943 7259
0.9905104419	5194 1107
0.9903898456	633 2054
0.9903037334	633 7973
0.9902887767	1095 4906
0.9901517242	1685 1686
0.9901229036	10866 3078
0.9901081606	5344 3201
0.9900484037	152 153
0.9900184170	4173 1237
0.9899869368	4277 137
0.9899534456	6067 318
0.9899454011	986 1116
0.9897772200	4836 2021
0.9894660935	3886 1098
0.9893534456	3100 2389
0.9892081159	16866 4805
0.9890184170	142 138
0.9888898456	4001 4910
0.9888171037	16393 15935
0.9887548072	14022 1690
0.9887199655	956 1214
0.9885961948	403 729
0.9885780606	633 1051
0.9885472991	1510 403
0.9884608753	13200 1257
0.9883788550	10080 9248
0.9882717606	8049 4848
0.9881308188	403 3871
0.9880680689	14334 8568
0.9879470483	3009 3010
0.9879061641	1445 152
0.9879014022	727 318
0.9878117042	13189 15452
0.9877836317	5458 5459
0.9877388334	402 144
0.9877333604	5369 6171
0.9876758156	986 10412
0.9875798336	1117 2326
0.9875499596	2524 12155
0.9875493786	13405 1116
0.9875424601	4073 3464
0.9875299729	403 4774
0.9874367789	1212 1218
0.9872883662	1878 4659
0.9872869267	14265 1690
0.9872852656	1510 8021
0.9872625365	267 4875
0.9872298021	16393 21730
0.9871107545	5194 27980
0.9870920207	195 5023
0.9870890950	2029 2030
0.9870534456	4203 2784
0.9870139209	1478 178
0.9869977433	402 1213
0.9869405154	1885 11311
0.9869355523	602 46258
0.9868870297	11080 1424
0.9867838527	174 1194
0.9867772200	1539 3947
0.9866844642	727 7780
0.9866024201	602 7000 352 5918
0.9865824382	3031 11213
0.9865480301	604 14867
0.9865087135	174 1719
0.9864909162	10816 8232
0.9864470502	389 1701
0.9863647578	8604 8605
0.9862738487	2001 3819
0.9862201912	790 394
0.9862024201	11512 8036
0.9861733128	726 5515
0.9861644100	1690 14072 351
0.9861512787	12797 329
0.9861507718	14331 8568
0.9860989001	15115 2199
0.9860314244	2524 12207
0.9859062663	5 1960
0.9858898456	912 2177
0.9858735009	403 9432
